model,task,feature_subset,N,n_seeds,tune_objective,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,c_index_mean,c_index_std,run_dir
ebm_classifier,classification,fs_a_only,200,5,roc_auc,0.9061224681522677,0.03944100040408346,0.8892063492063492,0.059807788199802904,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004654Z
ebm_classifier,classification,fs_a_only,200,5,f1,0.9117916865742952,0.04248882786933237,0.8841269841269842,0.07859146770271194,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T005406Z
ebm_classifier,classification,fs_cv,200,5,roc_auc,0.9108457229793206,0.026932904484069986,0.8755555555555554,0.08609995538886311,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015651Z
ebm_classifier,classification,fs_cv,200,5,f1,0.9038653639025342,0.02937046869452982,0.8746031746031745,0.07945233298925287,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_cv__20260517T020920Z
ebm_classifier,classification,fs_a_only,300,5,roc_auc,0.8545375364075978,0.011476376761421042,0.8642361111111111,0.022582795196540464,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011352Z
ebm_classifier,classification,fs_a_only,300,5,f1,0.8484636278753926,0.027029967352301315,0.8625,0.03297240212204037,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011754Z
ebm_classifier,classification,fs_cv,300,5,roc_auc,0.8437021415480404,0.04440188262261272,0.8638888888888889,0.05431558943961525,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_cv__20260517T023233Z
ebm_classifier,classification,fs_cv,300,5,f1,0.8476961984130368,0.0446205294664169,0.8649305555555553,0.04973587161349767,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_cv__20260517T024019Z
ebm_classifier,classification,fs_a_only,400,5,roc_auc,0.8260208419031947,0.05765076339924467,0.8847222222222223,0.05302391435783633,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013434Z
ebm_classifier,classification,fs_a_only,400,5,f1,0.804864964853866,0.06379949278354007,0.8861111111111111,0.050817962156876964,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013941Z
ebm_classifier,classification,fs_cv,400,5,roc_auc,0.8124809923969589,0.06605377515989608,0.8777777777777779,0.03258620896423045,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_cv__20260517T030139Z
ebm_classifier,classification,fs_cv,400,5,f1,0.8081204894333105,0.06631224141553996,0.8708333333333332,0.05223646470233954,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_cv__20260517T030745Z
xgb_classifier,classification,fs_a_only,200,5,roc_auc,0.8970152693748199,0.04273008869518561,0.8950793650793651,0.0678290575871581,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004444Z
xgb_classifier,classification,fs_a_only,200,5,f1,0.9179707570428846,0.03996324667313768,0.8903174603174604,0.07549784377192585,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004548Z
xgb_classifier,classification,fs_cv,200,5,roc_auc,0.89988226840809,0.03776366133665757,0.905079365079365,0.06282787518070973,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015355Z
xgb_classifier,classification,fs_cv,200,5,f1,0.9053787704259678,0.03198729214165462,0.9003174603174603,0.058141624295220455,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015513Z
xgb_classifier,classification,fs_a_only,300,5,roc_auc,0.8572155010667538,0.02411148360604063,0.8588541666666666,0.022297371846943352,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011138Z
xgb_classifier,classification,fs_a_only,300,5,f1,0.8435833914409766,0.014488276933638659,0.8526041666666666,0.03278217293390596,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011251Z
xgb_classifier,classification,fs_cv,300,5,roc_auc,0.8377149276393933,0.029385207923216274,0.8753472222222222,0.015547648039748703,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260517T022941Z
xgb_classifier,classification,fs_cv,300,5,f1,0.8420353020429225,0.024088350928811224,0.8878472222222223,0.0206735772869503,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260517T023104Z
xgb_classifier,classification,fs_a_only,400,5,roc_auc,0.810394262782129,0.0686232831276426,0.8657986111111111,0.053382240759190916,,,runs/runs/classification/xgb_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013229Z
