feature_set,N,cohort,n_seeds,n_test_mean,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std
fs_a_only,200,overall,5,59.0,0.9073015873015873,0.054946777886430945,0.9180102632133142,0.016338585369435974,0.8745762711864409,0.025704662522208686
fs_a_only,200,AR,5,50.2,0.8993359447812889,0.059545617075083775,0.9180741392709668,0.022176443658794523,0.8721457689152521,0.03692170355680234
fs_a_only,200,0MC,5,8.8,0.9634920634920634,0.051921991218400375,0.9014335664335664,0.07285244238047231,0.8714285714285716,0.08255494364410058
fs_a_only,300,overall,5,51.0,0.8388157894736843,0.038642566198916845,0.8275276317846705,0.036948521704694676,0.7725490196078432,0.042958631961189486
fs_a_only,300,AR,5,43.4,0.852829131652661,0.05085342930312642,0.8415705975674246,0.058218640009633935,0.7910049833887043,0.06848130492186665
fs_a_only,300,0MC,5,7.6,0.8666666666666666,0.12472191289246469,0.7842424242424244,0.12953260613229134,0.7284632034632035,0.15567515036421603
fs_a_only,400,overall,5,49.0,0.8553333333333333,0.018536750284532364,0.8033244996111651,0.016339723924077593,0.7918367346938775,0.022356022755312926
fs_a_only,400,AR,5,41.6,0.8472232063201816,0.01784637826358021,0.8045667807369936,0.023111419398649493,0.7895470383275262,0.0254601042178949
fs_a_only,400,0MC,5,7.4,0.9775,0.03112474899497184,0.8342857142857143,0.10575288870469568,0.8348901098901098,0.11927000924145173
fs_a_plus_cap_c5,200,overall,5,59.0,0.9228571428571428,0.05750108174297672,0.9194598105939477,0.031904190665046725,0.8779661016949152,0.047031989578005466
fs_a_plus_cap_c5,200,AR,5,50.2,0.9218944864693853,0.0612202358859202,0.9196429935273522,0.028704868241651457,0.8763885909004859,0.043235845574180864
fs_a_plus_cap_c5,200,0MC,5,8.8,0.9857142857142858,0.03194382824999698,0.9234848484848485,0.0748237905528084,0.8825396825396826,0.11201446834525301
fs_a_plus_cap_c5,300,overall,5,51.0,0.8634868421052632,0.029582410770731843,0.8302401528099127,0.016221484077370472,0.7803921568627451,0.02147931598059475
fs_a_plus_cap_c5,300,AR,5,43.4,0.8688295945158689,0.03871700444067092,0.8411418167027481,0.01783046313691808,0.7929447296889157,0.022383039518863744
fs_a_plus_cap_c5,300,0MC,5,7.6,0.8833333333333332,0.11055415967851334,0.7987878787878788,0.12555844036439817,0.7534632034632034,0.1445451563507787
fs_a_plus_cap_c5,400,overall,5,49.0,0.849,0.02280959836949742,0.7970652055694073,0.027065302908906356,0.7877551020408162,0.030950512016536973
fs_a_plus_cap_c5,400,AR,5,41.6,0.8407365522502411,0.02684552802122433,0.793528551688679,0.03719894011434395,0.7829937000668707,0.034010127666243936
fs_a_plus_cap_c5,400,0MC,5,7.4,0.9724999999999999,0.037914377220257735,0.8253968253968254,0.13515386004703492,0.8448901098901098,0.11226345067386463
