seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,200,fs_a_only,AR3884,AR,1,0.09294469150410667,0
0,200,fs_a_only,AR3961,AR,1,0.9774424776807038,1
0,200,fs_a_only,AR4276,AR,1,0.9897027028958552,1
0,200,fs_a_only,AR4428,AR,0,0.2790767261349448,0
0,200,fs_a_only,AR4309,AR,1,0.9874751036790977,1
0,200,fs_a_only,AR4131,AR,1,0.8679807566726525,1
0,200,fs_a_only,AR3983,AR,0,0.19705222649427476,0
0,200,fs_a_only,AR4526,AR,1,0.9883333400006901,1
0,200,fs_a_only,AR4232,AR,1,0.9902475663191866,1
0,200,fs_a_only,AR4569,AR,1,0.45521217948498005,0
0,200,fs_a_only,AR4163,AR,1,0.9763628628907204,1
0,200,fs_a_only,AR4563,AR,1,0.9877087596670674,1
0,200,fs_a_only,AR4144,AR,1,0.9837894485848494,1
0,200,fs_a_only,0MC2-251022-001,0MC,1,0.4115419891894077,0
0,200,fs_a_only,AR4359,AR,1,0.98418192474563,1
0,200,fs_a_only,0MC20-251126-R002,0MC,0,0.19834202037524137,0
0,200,fs_a_only,AR4109,AR,1,0.9621413137023953,1
0,200,fs_a_only,AR3952,AR,0,0.03878075509931489,0
0,200,fs_a_only,AR4035,AR,1,0.9834490488267738,1
0,200,fs_a_only,AR4411,AR,0,0.6674082806710568,1
0,200,fs_a_only,AR3921,AR,1,0.9471566571068877,1
0,200,fs_a_only,AR3994,AR,1,0.9878151546065682,1
0,200,fs_a_only,AR3970,AR,1,0.99024598817912,1
0,200,fs_a_only,AR4277,AR,1,0.584447275149451,1
0,200,fs_a_only,AR3922,AR,1,0.9779628934894412,1
0,200,fs_a_only,AR4170,AR,1,0.9628623946432107,1
0,200,fs_a_only,AR4199,AR,1,0.820546207493903,1
0,200,fs_a_only,AR3773,AR,1,0.9804528527493093,1
0,200,fs_a_only,AR3875,AR,1,0.9710111788807487,1
0,200,fs_a_only,AR4018,AR,0,0.20081175915662364,0
0,200,fs_a_only,AR4195,AR,0,0.9891804212090992,1
0,200,fs_a_only,AR4310,AR,1,0.987513971840397,1
0,200,fs_a_only,AR4433,AR,0,0.843265927376579,1
0,200,fs_a_only,AR4581,AR,0,0.9838701430397809,1
0,200,fs_a_only,0MC2-251222-002,0MC,0,0.45344179068313073,0
0,200,fs_a_only,AR4042,AR,1,0.987408604769556,1
0,200,fs_a_only,AR4194,AR,1,0.9894600488887522,1
0,200,fs_a_only,0MC2-251029-002,0MC,1,0.9890614854392978,1
0,200,fs_a_only,AR4198,AR,1,0.9894173253790252,1
0,200,fs_a_only,AR4306,AR,0,0.32166090382951196,0
0,200,fs_a_only,AR4353,AR,1,0.9790799600596872,1
0,200,fs_a_only,AR4555,AR,1,0.9102401423250047,1
0,200,fs_a_only,AR4037,AR,1,0.9830580695197029,1
0,200,fs_a_only,0MC6-260317-R001,0MC,0,0.07853904841961909,0
0,200,fs_a_only,0MC6-260317-R005,0MC,1,0.572308687824615,1
0,200,fs_a_only,AR4197,AR,1,0.9857189956248811,1
0,200,fs_a_only,AR4110,AR,1,0.9635399277739215,1
0,200,fs_a_only,AR3992,AR,1,0.9895016112116188,1
0,200,fs_a_only,AR3876,AR,1,0.9923982085337205,1
0,200,fs_a_only,AR4293,AR,0,0.5317603509236185,1
0,200,fs_a_only,AR3968,AR,1,0.9811471486384883,1
0,200,fs_a_only,AR4549,AR,1,0.9874582408641533,1
0,200,fs_a_only,AR4019,AR,0,0.5364674948559993,1
0,200,fs_a_only,AR4055,AR,1,0.9900885428833306,1
