cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
0MC2-251022-001,0MC,56.52,49.86000000000001,47.52,47.52,-6.659999999999997,0.0
0MC2-251022-002,0MC,56.52,52.02,47.52,49.68000000000001,-4.5,2.1600000000000037
0MC2-251022-003,0MC,50.400000000000006,50.400000000000006,67.32,66.78,0.0,-0.539999999999992
0MC2-251022-004,0MC,50.040000000000006,50.400000000000006,68.94,67.68,0.35999999999999943,-1.259999999999991
0MC2-251028-002,0MC,50.040000000000006,47.52,54.18,54.18,-2.520000000000003,0.0
0MC2-251029-001,0MC,50.580000000000005,50.040000000000006,70.02,72.18,-0.5399999999999991,2.160000000000011
0MC2-251029-002,0MC,50.040000000000006,47.34,70.02,70.38,-2.700000000000003,0.35999999999999943
0MC2-251029-003,0MC,50.040000000000006,50.040000000000006,67.5,67.68,0.0,0.18000000000000682
0MC2-251107-006,0MC,49.86000000000001,45.54,54.18,54.18,-4.320000000000007,0.0
0MC2-251107-010,0MC,49.68000000000001,47.52,56.34,56.34,-2.1600000000000037,0.0
0MC2-251111-003,0MC,49.68000000000001,47.52,56.34,56.34,-2.1600000000000037,0.0
0MC2-251111-006,0MC,52.02,47.7,56.34,54.18,-4.32,-2.1600000000000037
0MC2-251111-008,0MC,48.06,47.7,56.34,54.18,-0.35999999999999943,-2.1600000000000037
0MC2-251112-010,0MC,52.02,47.7,56.34,56.34,-4.32,0.0
0MC2-251118-003,0MC,52.02,49.86000000000001,71.10000000000001,72.18,-2.1599999999999966,1.0799999999999983
0MC2-251118-004,0MC,52.02,45.36,56.34,56.34,-6.660000000000004,0.0
0MC2-251118-005,0MC,50.940000000000005,47.52,54.18,54.18,-3.4200000000000017,0.0
0MC2-251120-007,0MC,52.02,50.220000000000006,70.38,72.18,-1.7999999999999972,1.8000000000000114
0MC2-251125-005,0MC,52.02,47.52,54.18,54.18,-4.5,0.0
0MC2-251125-009,0MC,52.38000000000001,47.52,54.18,56.34,-4.8600000000000065,2.1600000000000037
0MC2-251125-012,0MC,52.38000000000001,50.400000000000006,71.10000000000001,70.02,-1.980000000000004,-1.0800000000000125
0MC2-251202-007,0MC,52.02,47.7,56.34,56.34,-4.32,0.0
0MC2-251202-010,0MC,52.02,52.559999999999995,72.18,70.02,0.539999999999992,-2.160000000000011
0MC2-251205-010,0MC,64.25999999999999,47.88,68.22,68.22,-16.37999999999999,0.0
0MC2-251216-014,0MC,50.040000000000006,48.24,71.46000000000001,71.46000000000001,-1.8000000000000043,0.0
0MC2-251216-019,0MC,47.7,50.040000000000006,74.25,71.82000000000001,2.3400000000000034,-2.4299999999999926
0MC2-251216-020,0MC,50.040000000000006,50.040000000000006,72.0,71.46000000000001,0.0,-0.539999999999992
0MC2-251216-023,0MC,47.52,47.34,50.220000000000006,70.38,-0.17999999999999972,20.15999999999999
0MC2-251222-001,0MC,54.54,50.580000000000005,72.18,70.38,-3.9599999999999937,-1.8000000000000114
0MC2-251222-002,0MC,56.7,48.42,70.74000000000001,68.76,-8.280000000000001,-1.980000000000004
0MC2-251222-004,0MC,57.24,47.88,72.36,70.74000000000001,-9.36,-1.6199999999999903
0MC2-251222-005,0MC,54.18,47.7,72.36,72.36,-6.479999999999997,0.0
0MC2-251222-006,0MC,52.02,50.040000000000006,72.18,72.36,-1.9799999999999969,0.1799999999999926
0MC2-260120-014,0MC,45.36,45.36,54.18,56.34,0.0,2.1600000000000037
0MC2-260312-026,0MC,87.84,58.67999999999999,74.33999999999999,74.33999999999999,-29.16000000000001,0.0
0MC20-250703-R002,0MC,47.52,49.86000000000001,58.67999999999999,47.52,2.3400000000000034,-11.15999999999999
0MC20-251121-R001,0MC,47.7,47.52,52.02,49.68000000000001,-0.17999999999999972,-2.3399999999999963
0MC20-251126-R001,0MC,47.7,47.7,54.18,47.52,0.0,-6.659999999999997
0MC20-251126-R002,0MC,49.68000000000001,47.7,47.52,45.18,-1.980000000000004,-2.3400000000000034
0MC20-251126-R003,0MC,45.36,45.54,45.18,47.52,0.17999999999999972,2.3400000000000034
0MC20-251204-R001,0MC,49.68000000000001,54.36,61.199999999999996,65.34,4.679999999999993,4.140000000000008
0MC20-251209-R001,0MC,50.040000000000006,52.2,54.18,61.919999999999995,2.1599999999999966,7.739999999999995
0MC20-251216-R002,0MC,50.220000000000006,56.7,63.9,65.34,6.479999999999997,1.4400000000000048
0MC20-251216-R003,0MC,49.86000000000001,50.040000000000006,63.72,66.06,0.17999999999999972,2.3400000000000034
0MC20-260128-R001,0MC,48.24,50.040000000000006,58.67999999999999,60.839999999999996,1.8000000000000043,2.1600000000000037
0MC20-260129-R001,0MC,48.06,50.040000000000006,56.34,60.839999999999996,1.980000000000004,4.499999999999993
0MC20-260203-R001,0MC,49.86000000000001,50.580000000000005,60.839999999999996,60.839999999999996,0.7199999999999989,0.0
0MC40-260115-R001,0MC,49.68000000000001,52.2,60.839999999999996,58.67999999999999,2.519999999999996,-2.1600000000000037
0MC40-260206-R001,0MC,47.88,47.52,63.17999999999999,60.839999999999996,-0.35999999999999943,-2.3399999999999963
0MC40-260216-R001,0MC,NaN,NaN,NaN,NaN,NaN,NaN
0MC40-260225-R001,0MC,83.34,NaN,74.25,68.4,NaN,-5.849999999999994
0MC40-260226-R001,0MC,87.84,NaN,72.18,NaN,NaN,NaN
0MC6-260107-R002,0MC,49.68000000000001,47.7,45.18,58.67999999999999,-1.980000000000004,13.499999999999993
0MC6-260107-R003,0MC,52.02,NaN,61.019999999999996,NaN,NaN,NaN
0MC6-260107-R004,0MC,NaN,55.44,NaN,NaN,NaN,NaN
0MC6-260107-R005,0MC,NaN,47.7,NaN,NaN,NaN,NaN
0MC6-260107-R006,0MC,NaN,NaN,NaN,NaN,NaN,NaN
0MC6-260107-R007,0MC,NaN,NaN,NaN,NaN,NaN,NaN
0MC6-260107-R008,0MC,47.52,NaN,60.839999999999996,NaN,NaN,NaN
0MC6-260107-R009,0MC,52.2,NaN,60.839999999999996,NaN,NaN,NaN
0MC6-260108-R001,0MC,NaN,49.68000000000001,72.0,73.44000000000001,NaN,1.440000000000012
0MC6-260119-R001,0MC,NaN,49.68000000000001,72.36,72.36,NaN,0.0
0MC6-260119-R002,0MC,49.68000000000001,49.86000000000001,45.18,51.84,0.17999999999999972,6.660000000000004
0MC6-260119-R003,0MC,52.02,49.86000000000001,45.18,60.839999999999996,-2.1599999999999966,15.659999999999997
0MC6-260119-R004,0MC,49.68000000000001,49.86000000000001,47.34,45.18,0.17999999999999972,-2.1600000000000037
0MC6-260119-R005,0MC,49.68000000000001,49.86000000000001,45.18,51.84,0.17999999999999972,6.660000000000004
0MC6-260119-R006,0MC,NaN,49.68000000000001,71.82000000000001,72.36,NaN,0.539999999999992
0MC6-260120-R006,0MC,52.02,47.52,57.96,61.199999999999996,-4.5,3.239999999999995
0MC6-260121-R001,0MC,47.52,49.86000000000001,54.18,45.18,2.3400000000000034,-9.0
0MC6-260121-R002,0MC,48.06,47.34,72.54,72.18,-0.7199999999999989,-0.35999999999999943
0MC6-260121-R003,0MC,47.52,49.86000000000001,45.18,45.18,2.3400000000000034,0.0
0MC6-260121-R004,0MC,47.88,50.040000000000006,70.02,70.56,2.1600000000000037,0.5400000000000063
0MC6-260122-R004,0MC,47.52,47.52,52.02,52.02,0.0,0.0
0MC6-260122-R005,0MC,47.52,47.52,52.02,58.67999999999999,0.0,6.6599999999999895
0MC6-260122-R006,0MC,47.52,47.52,54.18,56.34,0.0,2.1600000000000037
0MC6-260123-R003,0MC,49.86000000000001,52.02,56.34,54.18,2.1599999999999966,-2.1600000000000037
0MC6-260123-R004,0MC,50.400000000000006,47.34,72.72,70.02,-3.0600000000000023,-2.700000000000003
0MC6-260123-R006,0MC,47.88,47.52,67.86,76.5,-0.35999999999999943,8.64
0MC6-260123-R007,0MC,47.52,48.06,58.67999999999999,60.839999999999996,0.5399999999999991,2.1600000000000037
0MC6-260127-R002,0MC,47.7,50.220000000000006,74.88,75.96,2.520000000000003,1.0799999999999983
0MC6-260127-R003,0MC,47.7,47.34,72.36,72.18,-0.35999999999999943,-0.1799999999999926
0MC6-260127-R005,0MC,45.36,50.040000000000006,70.02,72.36,4.680000000000007,2.3400000000000034
0MC6-260209-R001,0MC,52.2,52.2,61.019999999999996,63.17999999999999,0.0,2.1599999999999966
0MC6-260211-R002,0MC,52.739999999999995,52.38000000000001,72.18,72.18,-0.3599999999999852,0.0
0MC6-260211-R003,0MC,45.36,49.86000000000001,72.36,70.02,4.500000000000007,-2.3400000000000034
0MC6-260211-R005,0MC,51.84,52.739999999999995,72.18,70.02,0.8999999999999915,-2.160000000000011
0MC6-260212-R004,0MC,49.68000000000001,50.040000000000006,73.08,72.18,0.35999999999999943,-0.8999999999999915
0MC6-260212-R007,0MC,45.36,49.68000000000001,72.36,72.36,4.320000000000007,0.0
0MC6-260212-R009,0MC,45.36,49.68000000000001,72.72,74.7,4.320000000000007,1.980000000000004
0MC6-260213-R001,0MC,45.9,47.52,54.18,54.18,1.6200000000000045,0.0
0MC6-260213-R006,0MC,49.86000000000001,49.68000000000001,70.02,71.64,-0.17999999999999972,1.6200000000000045
0MC6-260218-R002,0MC,46.44,47.7,58.67999999999999,56.52,1.2600000000000051,-2.1599999999999895
