cell_name,cohort,has_c1_chg,has_c5_chg,has_c1_dis,has_c5_dis,dop_ok_c1_chg,dop_ok_c5_chg,dop_ok_c1_dis,dop_ok_c5_dis,fit_time_s_total,n_features_success,error_msg
0MC2-251022-001,0MC,true,true,true,true,true,true,true,true,7.984475452452898,6,""
0MC2-251022-002,0MC,true,true,true,true,true,true,true,true,6.496006902307272,6,""
0MC2-251022-003,0MC,true,true,true,true,true,true,true,true,4.496674980968237,6,""
0MC2-251022-004,0MC,true,true,true,true,true,true,true,true,8.928392570465803,6,""
0MC2-251028-002,0MC,true,true,true,true,true,true,true,true,6.351146291941404,6,""
0MC2-251029-001,0MC,true,true,true,true,true,true,true,true,9.264857940375805,6,""
0MC2-251029-002,0MC,true,true,true,true,true,true,true,true,8.269197955727577,6,""
0MC2-251029-003,0MC,true,true,true,true,true,true,true,true,6.427368987351656,6,""
0MC2-251107-006,0MC,true,true,true,true,true,true,true,true,6.83185887336731,6,""
0MC2-251107-010,0MC,true,true,true,true,true,true,true,true,6.808548957109451,6,""
0MC2-251111-003,0MC,true,true,true,true,true,true,true,true,6.42726244777441,6,""
0MC2-251111-006,0MC,true,true,true,true,true,true,true,true,7.027695428580046,6,""
0MC2-251111-008,0MC,true,true,true,true,true,true,true,true,5.923817541450262,6,""
0MC2-251112-010,0MC,true,true,true,true,true,true,true,true,7.04714073613286,6,""
0MC2-251118-003,0MC,true,true,true,true,true,true,true,true,14.68258810788393,6,""
0MC2-251118-004,0MC,true,true,true,true,true,true,true,true,6.445588268339634,6,""
0MC2-251118-005,0MC,true,true,true,true,true,true,true,true,5.76645190641284,6,""
0MC2-251120-007,0MC,true,true,true,true,true,true,true,true,10.027110505849123,6,""
0MC2-251125-005,0MC,true,true,true,true,true,true,true,true,5.9843264520168304,6,""
0MC2-251125-009,0MC,true,true,true,true,true,true,true,true,6.470898266881704,6,""
0MC2-251125-012,0MC,true,true,true,true,true,true,true,true,7.758362412452698,6,""
0MC2-251202-007,0MC,true,true,true,true,true,true,true,true,6.784717001020908,6,""
