cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
0MC2-251022-001,0MC,56.52,49.86000000000001,47.52,47.52,-6.659999999999997,0.0
0MC2-251022-002,0MC,56.52,52.02,47.52,49.68000000000001,-4.5,2.1600000000000037
0MC2-251022-003,0MC,50.400000000000006,50.400000000000006,67.32,66.78,0.0,-0.539999999999992
0MC2-251022-004,0MC,50.040000000000006,50.400000000000006,68.94,67.68,0.35999999999999943,-1.259999999999991
0MC2-251028-002,0MC,50.040000000000006,47.52,54.18,54.18,-2.520000000000003,0.0
AR-2736,AR,56.7,54.36,60.3,63.17999999999999,-2.3400000000000034,2.8799999999999955
AR-3420,AR,49.86000000000001,57.24,45.72,47.52,7.3799999999999955,1.8000000000000043
AR-3421,AR,49.86000000000001,57.42,45.18,47.52,7.559999999999995,2.3400000000000034
AR-3422,AR,52.919999999999995,49.86000000000001,65.52,70.74000000000001,-3.059999999999988,5.220000000000013
AR-3423,AR,52.02,47.7,66.06,67.32,-4.32,1.259999999999991
